Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale of household goods,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Social work activities without accommodation,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale of household goods,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Veterinary activities,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Civil engineering,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Construction of buildings,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Manufacture of chemicals and chemical products,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Manufacture of coke and refined petroleum products,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Specialized construction activities,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Remediation activities and other waste management services,ISIC Division,Human health activities,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Remediation activities and other waste management services,ISIC Division,Manufacture of coke and refined petroleum products,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Remediation activities and other waste management services,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Remediation activities and other waste management services,ISIC Division,Real estate activities,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Remediation activities and other waste management services,ISIC Division,Residential care activities,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Remediation activities and other waste management services,ISIC Division,Social work activities without accommodation,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Remediation activities and other waste management services,ISIC Division,Veterinary activities,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Steam and air conditioning supply,ISIC Group,Education,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Steam and air conditioning supply,ISIC Group,Transmission and distribution of electricity,ISIC Class
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Steam and air conditioning supply,ISIC Group,Human health activities,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Steam and air conditioning supply,ISIC Group,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Steam and air conditioning supply,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Steam and air conditioning supply,ISIC Group,Public administration and defence; compulsory social security,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Steam and air conditioning supply,ISIC Group,Residential care activities,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Steam and air conditioning supply,ISIC Group,Social work activities without accommodation,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,Steam and air conditioning supply,ISIC Group,Veterinary activities,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Human health activities,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Manufacture of coke and refined petroleum products,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale of machinery, equipment and supplies",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Real estate activities,ISIC Division
